student_id,faculty,major,current_semester,gpa,interest_area,elective_code,elective_name,elective_term,course_difficulty,ects,success_probability,passed,gpa_risk
201419610,School of Education and Humanities,Physics,4,2.28,Research,PHY310,Quantum Mechanics,5,Easy,5,0.39,0,High
202571945,School of IT and Applied Mathematics,Statistics and Data Science,1,3.12,"Research, Law, Programming",SDS306,Simulation Modeling,5,Medium,5,0.52,1,Low
203678638,School of Education and Humanities,Physics,5,2.31,"Artificial Intelligence, Data Analysis",PHY330,Electrodynamics,6,Medium,3,0.4,1,High
225437923,School of IT and Applied Mathematics,Information Systems,2,3.95,"Artificial Intelligence, Research",INF320,Information Security,6,Medium,5,0.64,1,Low
224226067,School of Education and Humanities,Mathematics,4,3.55,Programming,MAT310,Abstract Algebra,5,Easy,4,0.58,1,Low
223728882,"School of Social Sciences, Business and Law",Management,5,3.4,"Artificial Intelligence, Statistics, Programming",MGT210,Principles of Management,3,Easy,4,0.66,1,Low
244684531,School of Education and Humanities,Physics,4,3.64,"Law, Business",PHY310,Quantum Mechanics,5,Easy,3,0.6,0,Low
246279418,School of IT and Applied Mathematics,Information Systems,7,3.77,"Education, Statistics, Business",INF320,Information Security,6,Easy,3,0.72,0,Low
245408072,School of Education and Humanities,Pedagogy and Psychology,7,2.72,Research,EDU330,Teaching Methodologies,5,Medium,3,0.56,0,Medium
203564251,School of Education and Humanities,Mathematics,7,3.19,"Law, Education",MAT410,Functional Analysis,7,Hard,4,0.53,0,Low
202921859,School of Education and Humanities,Pedagogy and Psychology,6,2.22,"Statistics, Education",EDU330,Teaching Methodologies,5,Easy,5,0.48,0,High
229398441,School of IT and Applied Mathematics,Information Systems,5,3.68,"Data Analysis, Programming, Statistics",INF305,Database Systems,5,Medium,3,0.7,1,Low
241009594,School of Education and Humanities,Physics,1,2.22,"Business, Programming",PHY330,Electrodynamics,6,Easy,3,0.38,0,High
202437026,School of Education and Humanities,Physics,3,2.26,"Research, Statistics",PHY310,Quantum Mechanics,5,Medium,5,0.39,0,High
234553384,School of Education and Humanities,Pedagogy and Psychology,4,3.43,"Finance, Education",EDU410,Inclusive Education,7,Hard,4,0.56,1,Low
212074176,"School of Social Sciences, Business and Law",Economics,4,3.18,Artificial Intelligence,ECO410,Econometrics,7,Hard,5,0.43,1,Low
201527021,"School of Social Sciences, Business and Law",Economics,4,2.56,"Programming, Research",ECO410,Econometrics,7,Easy,5,0.43,0,Medium
248930103,School of IT and Applied Mathematics,Computer Science,4,2.19,"Law, Finance, Data Analysis",CSS350,Software Engineering,5,Medium,4,0.38,0,High
202651177,School of IT and Applied Mathematics,Computer Science,2,2.5,Research,CSS439,Distributed Systems,7,Medium,3,0.43,1,Medium
228761611,School of IT and Applied Mathematics,Statistics and Data Science,2,2.1,"Machine Learning, Artificial Intelligence, Programming",SDS305,Applied Statistics,5,Easy,4,0.36,0,High
217728339,School of IT and Applied Mathematics,Statistics and Data Science,1,3.97,"Education, Business",SDS305,Applied Statistics,5,Medium,5,0.65,0,Low
249164991,School of IT and Applied Mathematics,Statistics and Data Science,4,3.94,"Research, Machine Learning, Finance",CSS421,Computer Vision,7,Easy,3,0.64,1,Low
249910817,School of IT and Applied Mathematics,Statistics and Data Science,2,3.7,Data Analysis,SDS306,Simulation Modeling,5,Easy,5,0.61,0,Low
233011363,School of Education and Humanities,Mathematics,1,3.24,"Data Analysis, Research",MAT410,Functional Analysis,7,Medium,4,0.54,1,Low
225004485,"School of Social Sciences, Business and Law",International Law,5,2.91,Machine Learning,LAW210,International Public Law,3,Medium,5,0.59,0,Medium
202229110,School of Education and Humanities,Mathematics,5,2.26,"Artificial Intelligence, Programming",MAT410,Functional Analysis,7,Medium,4,0.39,1,High
246075395,School of Education and Humanities,Pedagogy and Psychology,1,3.34,"Business, Artificial Intelligence, Statistics",EDU410,Inclusive Education,7,Medium,3,0.55,0,Low
243607983,"School of Social Sciences, Business and Law",Management,4,3.44,Business,MGT410,Strategic Management,7,Hard,4,0.47,1,Low
202548511,School of Education and Humanities,Physics,1,2.01,Business,PHY330,Electrodynamics,6,Easy,5,0.35,0,High
231162230,School of IT and Applied Mathematics,Statistics and Data Science,1,3.67,"Research, Statistics, Law",INF376,Natural Language Processing,7,Easy,3,0.6,1,Low
207003042,School of IT and Applied Mathematics,Information Systems,2,2.71,"Law, Statistics, Programming",INF305,Database Systems,5,Easy,3,0.46,0,Medium
204009172,School of Education and Humanities,Physics,4,2.53,"Artificial Intelligence, Law, Machine Learning",PHY330,Electrodynamics,6,Medium,3,0.43,1,Medium
236866294,"School of Social Sciences, Business and Law",Finance,1,3.32,"Finance, Business",FIN220,Corporate Finance,4,Easy,4,0.65,1,Low
247705490,School of Education and Humanities,Pedagogy and Psychology,1,2.23,"Statistics, Business",EDU330,Teaching Methodologies,5,Easy,3,0.38,0,High
226262632,"School of Social Sciences, Business and Law",Economics,4,2.51,"Law, Machine Learning, Programming",ECO330,Macroeconomics,5,Medium,4,0.43,1,Medium
226266630,School of Education and Humanities,Mathematics,5,3.01,"Law, Finance, Data Analysis",MAT410,Functional Analysis,7,Hard,4,0.4,0,Low
218053918,School of Education and Humanities,Physics,3,3.23,"Law, Research",PHY410,Statistical Physics,7,Easy,4,0.53,1,Low
236406444,"School of Social Sciences, Business and Law",International Law,4,3.02,"Statistics, Artificial Intelligence, Business",LAW330,Human Rights Law,5,Hard,5,0.4,0,Low
222566777,School of IT and Applied Mathematics,Information Systems,4,3.61,Machine Learning,INF320,Information Security,6,Easy,3,0.59,0,Low
242221854,"School of Social Sciences, Business and Law",International Law,4,3.44,"Education, Law",LAW410,International Arbitration,7,Easy,3,0.57,0,Low
202788238,"School of Social Sciences, Business and Law",Finance,8,2.1,Artificial Intelligence,FIN220,Corporate Finance,4,Medium,3,0.47,0,High
246323376,"School of Social Sciences, Business and Law",International Law,8,3.79,"Education, Data Analysis, Business",LAW410,International Arbitration,7,Easy,5,0.72,1,Low
249130188,School of Education and Humanities,Mathematics,8,2.15,"Programming, Business",MAT330,Topology,6,Medium,4,0.47,0,High
203321531,School of IT and Applied Mathematics,Statistics and Data Science,3,3.41,Law,SDS305,Applied Statistics,5,Medium,4,0.56,1,Low
232044645,School of IT and Applied Mathematics,Computer Science,1,3.71,"Law, Education, Machine Learning",CSS350,Software Engineering,5,Medium,4,0.61,0,Low
234700025,"School of Social Sciences, Business and Law",Finance,7,2.97,"Finance, Law",FIN330,Investment Analysis,6,Hard,3,0.5,0,Medium
219961107,School of IT and Applied Mathematics,Computer Science,2,3.29,Education,CSS210,Data Structures,3,Easy,3,0.54,1,Low
224551070,"School of Social Sciences, Business and Law",Management,7,2.56,"Business, Artificial Intelligence",MGT320,Project Management,5,Medium,3,0.53,0,Medium
206871360,School of IT and Applied Mathematics,Information Systems,1,3.51,Programming,INF305,Database Systems,5,Easy,5,0.58,1,Low
218945036,School of Education and Humanities,Mathematics,4,2.93,"Finance, Statistics",MAT410,Functional Analysis,7,Hard,5,0.39,0,Medium
203747534,"School of Social Sciences, Business and Law",Economics,1,3.86,"Law, Data Analysis, Programming",ECO410,Econometrics,7,Easy,5,0.63,0,Low
212709620,School of Education and Humanities,Physics,2,3.59,"Machine Learning, Finance, Law",PHY410,Statistical Physics,7,Hard,4,0.49,1,Low
221212267,"School of Social Sciences, Business and Law",International Law,7,3.92,"Education, Statistics, Law",LAW210,International Public Law,3,Easy,5,0.84,1,Low
229111742,"School of Social Sciences, Business and Law",International Law,5,2.64,Artificial Intelligence,LAW410,International Arbitration,7,Medium,4,0.45,1,Medium
237358385,"School of Social Sciences, Business and Law",Economics,6,2.36,Finance,ECO330,Macroeconomics,5,Medium,4,0.5,1,High
245635017,School of Education and Humanities,Mathematics,4,2.17,"Law, Education, Programming",MAT410,Functional Analysis,7,Hard,4,0.28,0,High
238519121,School of IT and Applied Mathematics,Statistics and Data Science,4,2.81,Business,CSS421,Computer Vision,7,Hard,5,0.37,1,Medium
249907391,"School of Social Sciences, Business and Law",International Law,6,2.7,"Business, Data Analysis",LAW410,International Arbitration,7,Medium,3,0.46,1,Medium
216294016,School of IT and Applied Mathematics,Information Systems,3,2.38,"Education, Business, Research",INF340,Enterprise Systems,7,Easy,3,0.41,1,High
224010529,"School of Social Sciences, Business and Law",Economics,3,2.55,Research,ECO410,Econometrics,7,Medium,5,0.43,0,Medium
232721135,School of IT and Applied Mathematics,Information Systems,8,2.96,"Statistics, Machine Learning",INF320,Information Security,6,Medium,4,0.59,1,Medium
207722755,"School of Social Sciences, Business and Law",Economics,1,2.3,"Business, Artificial Intelligence, Programming",ECO410,Econometrics,7,Easy,5,0.4,0,High
